Month,LogCases 
01-01-2011,6.242223265
01-02-2011,6.345636361
01-03-2011,6.575075841
01-04-2011,6.788971743
01-05-2011,7.217443432
01-06-2011,7.58171964
01-07-2011,7.819234454
01-08-2011,7.489412084
01-09-2011,7.188412736
01-10-2011,6.827629235
01-11-2011,6.782192056
01-12-2011,6.272877007
01-01-2012,5.805134969
01-02-2012,6.118097198
01-03-2012,6.184148891
01-04-2012,6.042632834
01-05-2012,6.597145702
01-06-2012,6.905753276
01-07-2012,7.21964204
01-08-2012,7.049254841
01-09-2012,7.016609684
01-10-2012,6.523562306
01-11-2012,5.857933154
01-12-2012,2.890371758
01-01-2013,5.351858133
01-02-2013,5.883322388
01-03-2013,5.894402834
01-04-2013,6.077642243
01-05-2013,6.326149473
01-06-2013,6.828712072
01-07-2013,7.273786318
01-08-2013,6.542471961
01-09-2013,6.204557763
01-10-2013,6.00635316
01-11-2013,5.620400866
01-12-2013,5.451038454
01-01-2014,5.003946306
01-02-2014,5.176149733
01-03-2014,5.549076085
01-04-2014,5.509388337
01-05-2014,6.013715156
01-06-2014,6.563855527
01-07-2014,7.264030143
01-08-2014,6.616065185
01-09-2014,6.442540166
01-10-2014,6.359573869
01-11-2014,6.12249281
01-12-2014,5.686975356
01-01-2015,5.010635294
01-02-2015,5.332718793
01-03-2015,5.446737372
01-04-2015,5.686975356
01-05-2015,5.910796644
01-06-2015,6.431331082
01-07-2015,6.549650742
01-08-2015,6.473890696
01-09-2015,6.265301213
01-10-2015,6.621405652
01-11-2015,6.018593214
01-12-2015,5.18178355
01-01-2016,4.927253685
01-02-2016,5.105945474
01-03-2016,5.272999559
01-04-2016,5.446737372
01-05-2016,5.762051383
01-06-2016,0
01-07-2016,0
01-08-2016,0
01-09-2016,0
01-10-2016,0
01-11-2016,0
01-12-2016,0
01-01-2017,4.077537444
01-02-2017,4.204692619
01-03-2017,4.521788577
01-04-2017,4.430816799
01-05-2017,4.934473933
01-06-2017,5.241747015
01-07-2017,5.755742214
01-08-2017,5.455321115
01-09-2017,4.927253685
01-10-2017,4.59511985
01-11-2017,4.356708827
01-12-2017,3.80666249
01-01-2018,3.091042453
01-02-2018,3.218875825
01-03-2018,3.713572067
01-04-2018,3.891820298
01-05-2018,4.290459441
01-06-2018,4.007333185
01-07-2018,4.532599493
01-08-2018,4.510859507
01-09-2018,4.532599493
01-10-2018,3.850147602
01-11-2018,3.218875825
01-12-2018,2.197224577
01-01-2019,1.386294361
01-02-2019,2.708050201
01-03-2019,2.833213344
01-04-2019,3.044522438
01-05-2019,2.079441542
01-06-2019,2.397895273
01-07-2019,2.833213344
01-08-2019,2.995732274
01-09-2019,2.302585093
01-10-2019,2.564949357
01-11-2019,1.098612289
01-12-2019,0
