Month,LogCases
01-01-2011,6.761572769
02-01-2011,7.099201744
03-01-2011,7.308542798
04-01-2011,7.419979924
05-01-2011,8.051659557
06-01-2011,8.23483028
07-01-2011,8.41294317
08-01-2011,7.708410667
09-01-2011,7.392647521
10-01-2011,7.616283562
11-01-2011,7.473637108
12-01-2011,6.738152495
01-01-2012,6.481577129
01-02-2012,6.81563999
01-03-2012,7.070724107
01-04-2012,7.132497552
01-05-2012,7.45007957
01-06-2012,7.726653665
01-07-2012,7.955074273
01-08-2012,8.098034756
01-09-2012,7.792348924
01-10-2012,7.476472381
01-11-2012,7.363279587
01-12-2012,6.558197803
01-01-2013,6.28785856
01-02-2013,6.56667243
01-03-2013,7.057036982
01-04-2013,7.360103973
01-05-2013,7.617267814
01-06-2013,8.103494278
01-07-2013,8.173011312
01-08-2013,8.403576465
01-09-2013,7.796057974
01-10-2013,7.967626739
01-11-2013,7.549082711
01-12-2013,6.927557906
01-01-2014,6.684611728
01-02-2014,6.892641641
01-03-2014,7.13169851
01-04-2014,7.258412151
01-05-2014,7.644440762
01-06-2014,8.210668031
01-07-2014,8.873187904
01-08-2014,8.430327258
01-09-2014,8.406261631
01-10-2014,8.481773246
01-11-2014,8.485908901
01-12-2014,8.040124664
01-01-2015,7.220373837
01-02-2015,7.208600338
01-03-2015,7.393263095
01-04-2015,7.691200098
01-05-2015,7.999007213
01-06-2015,8.475746002
01-07-2015,8.790877754
01-08-2015,8.925720274
01-09-2015,8.765302489
01-10-2015,8.642062173
01-11-2015,8.607033895
01-12-2015,7.884576511
01-01-2016,7.527255919
01-02-2016,7.37337431
01-03-2016,7.558516743
01-04-2016,7.901377354
01-05-2016,8.304494898
01-06-2016,8.505929999
01-07-2016,8.24957515
01-08-2016,8.312626026
01-09-2016,8.298290634
01-10-2016,7.911324019
01-11-2016,7.74109909
01-12-2016,6.929516771
01-01-2017,6.638567789
01-02-2017,6.706862337
01-03-2017,7.171656823
01-04-2017,7.271703707
01-05-2017,7.562681247
01-06-2017,7.510977752
01-07-2017,7.776115477
01-08-2017,7.620214771
01-09-2017,7.232733136
01-10-2017,7.04053639
01-11-2017,6.794586581
01-12-2017,6.246106765
01-01-2018,5.771441123
01-02-2018,5.81711116
01-03-2018,6.324358962
01-04-2018,6.388561406
01-05-2018,6.992096427
01-06-2018,6.877296071
01-07-2018,6.646390515
01-08-2018,6.378426184
01-09-2018,6.018593214
01-10-2018,5.924255797
01-11-2018,5.517452896
01-12-2018,4.890349128
